"Date","Confirmed","Recovered","Deaths","Active"
"11/21/2020","440805","370825","12219","57761"
"11/22/2020","446822","374637","12358","59827"
"11/23/2020","453535","377891","12511","63133"
"11/24/2020","460916","381569","12672","66675"
"11/25/2020","467730","385480","12840","69410"
"11/26/2020","503738","388771","13014","101953"
"11/27/2020","548244","392616","13191","142437"
"11/28/2020","578347","396227","13373","168747"
"11/29/2020","607628","400242","13558","193828"
"11/30/2020","638847","404727","13746","220374"
"12/1/2020","668957","409320","13936","245701"
"12/2/2020","700880","414141","14129","272610"
"12/3/2020","733261","418331","14316","300614"
"12/4/2020","765997","423142","14509","328346"
"12/5/2020","797893","427242","14705","355946"
"12/6/2020","828295","431253","14900","382142"
"12/7/2020","860432","436270","15103","409059"
"12/8/2020","893630","441515","15314","436801"
"12/9/2020","925342","447361","15531","462450"
"12/10/2020","1748567","452593","15751","1280223"
"12/11/2020","1780673","458109","15977","1306587"
"12/12/2020","1809809","1581565","16199","212045"
"12/13/2020","1836728","1603780","16417","216531"
"12/14/2020","1866345","1631944","16646","217755"
"12/15/2020","1898447","1661191","16881","220375"
"12/16/2020","1928165","1691113","17121","219931"
"12/17/2020","1955680","1721607","17364","216709"
"12/18/2020","1982090","1753552","17610","210928"
"12/19/2020","2004285","1779068","17851","207366"
"12/20/2020","2024601","1800286","18097","206218"
"12/21/2020","2043704","1834705","18351","190648"
"12/22/2020","2062960","1866815","18602","177543"
"12/23/2020","2082610","1901307","18861","162442"
"12/24/2020","2100712","1935292","19115","146305"
"12/25/2020","2118255","1970803","19371","128081"
"12/26/2020","2133373","1994034","19624","119715"
"12/27/2020","2147578","2015230","19878","112470"
"12/28/2020","2162775","2037433","20135","105207"
"12/29/2020","2178580","2058437","20388","99755"
"12/30/2020","2194272","2078629","20642","95001"
"12/31/2020","2208652","2100650","20881","87121"
"1/1/2021","2220855","2114760","21093","85002"
"1/2/2021","2232035","2126432","21295","84308"
"1/3/2021","2241912","2136534","21488","83890"
"1/4/2021","2255607","2146430","21685","87492"
"1/5/2021","2270101","2155338","21879","92884"
"1/6/2021","2283931","2164040","22070","97821"
"1/7/2021","2296102","2172251","22264","101587"
"1/8/2021","2307581","2182145","22450","102986"
"1/9/2021","2317118","2190047","22631","104440"
"1/10/2021","2326256","2198150","22807","105299"
"1/11/2021","2336476","2208451","22981","105044"
"1/12/2021","2346285","2218464","23152","104669"
"1/13/2021","2355839","2227927","23325","104587"
"1/14/2021","2364801","2236938","23495","104368"
"1/15/2021","2373115","2246047","23664","103404"
"1/16/2021","2380665","2254052","23832","102781"
"1/17/2021","2387101","2262864","23997","100240"
"1/18/2021","2392963","2270769","24161","98033"
"1/19/2021","2399781","2277987","24328","97466"
"1/20/2021","2406216","2283919","24487","97810"
"1/21/2021","2412505","2290032","24640","97833"
"1/22/2021","2418472","2296050","24789","97633"
"1/23/2021","2424328","2301861","24933","97534"
"1/24/2021","2429605","2307721","25073","96811"
"1/25/2021","2435247","2314403","25210","95634"
"1/26/2021","2442350","2322511","25344","94495"
"1/27/2021","2449839","2331314","25476","93049"
"1/28/2021","2457118","2340216","25605","91297"
"1/29/2021","2464030","2348309","25736","89985"
"1/30/2021","2470901","2355409","25865","89627"
"1/31/2021","2477463","2362415","25993","89055"
"2/1/2021","2485182","2370431","26117","88634"
"2/2/2021","2492977","2379070","26237","87670"
"2/3/2021","2501079","2387384","26354","87341"
"2/4/2021","2508988","2396199","26467","86322"
"2/5/2021","2516889","2404416","26577","85896"
"2/6/2021","2524786","2412505","26685","85596"
"2/7/2021","2531456","2440706","26797","63953"
"2/8/2021","2539559","2429273","26900","83386"
"2/9/2021","2548195","2437382","26998","83815"
"2/10/2021","2556837","2445285","27093","84459"
"2/11/2021","2564427","2453096","27187","84144"
"2/12/2021","2572190","2461204","27284","83702"
"2/13/2021","2579896","2468419","27377","84100"
"2/14/2021","2586183","2475329","27471","83383"
"2/15/2021","2594128","2482435","27562","84131"
"2/16/2021","2602034","2489624","27652","84758"
"2/17/2021","2609359","2496833","27738","84788"
"2/18/2021","2616600","2504050","27821","84729"
"2/19/2021","2624019","2511548","27903","84568"
"2/20/2021","2631876","2518758","27983","85135"
"2/21/2021","2638422","2523760","28060","86602"
"2/22/2021","2646526","2529450","28138","88938"
"2/23/2021","2655633","2534996","28213","92424"
"2/24/2021","2665194","2540293","28285","96616"
"2/25/2021","2674766","2546503","28358","99905"
"2/26/2021","2683971","2556785","28432","98754"
"2/27/2021","2693164","2565723","28503","98938"
"2/28/2021","2701588","2572234","28569","100785"
"3/1/2021","2711479","2578181","28638","104660"
"3/2/2021","2723316","2586073","28706","108537"
"3/3/2021","2734836","2593264","28771","112801"
"3/4/2021","2746158","2601137","28839","116182"
"3/5/2021","2757460","2608848","28901","119711"
"3/6/2021","2769230","2616139","28965","124126"
"3/7/2021","2780417","2623924","29030","127463"
"3/8/2021","2793632","2632030","29094","132508"
"3/9/2021","2807387","2640669","29160","137558"
"3/10/2021","2821943","2649862","29227","142854"
"3/11/2021","2835989","2659093","29290","147606"
"3/12/2021","2850930","2670273","29356","151301"
